Date,Bonds - Global Governments,Bonds - UK Corporate,Bonds - UK Government All Stocks,Bonds - UK Government Long Duration,Commodities - Gold,Commodities - Natural Resources,Equities - Emerging Markets,Equities - Global Large Cap,Equities - Global Small Cap,Equities - UK Large Cap,Equities - UK Mid Cap,Property
03/10/2011,1.003666361,1.003831418,1.007594643,1.020616843,1.01292517,0.984619201,0.978787879,0.985791737,0.968380952,0.984,0.991150442,0.987167148
04/10/2011,1.010045662,1.009541985,1.016685846,1.015801906,0.98791135,0.964348702,0.980143055,0.973070358,1.019276161,0.975609756,0.973214286,0.978117214
05/10/2011,0.994575045,0.989603025,0.990945105,0.98949563,0.978246091,1.035401698,1.005881712,1.023387254,1.014859128,1.025,1.009174312,1.015616347
06/10/2011,1.008181818,1.005730659,0.998857796,1.00534846,1.045865184,1.049583649,1.036058473,1.029327747,1.030233885,1.032520325,1.027272727,1.015812432
07/10/2011,0.987376014,0.993352327,0.999428245,0.995647267,1.01461794,1.007092199,1.00951087,1.009435708,0.979328165,1.015748031,1.008849558,1.007836822
10/10/2011,0.991780822,0.998087954,0.997139588,0.989232513,0.99410609,1.006564813,1.000828243,1.007881232,1.026008292,1.015503876,1.00877193,0.990519813
11/10/2011,1.00092081,0.996168582,0.993689042,0.993943858,1.005928854,1.008300723,1.020171718,1.009456265,1.009092579,1,1.017391304,1.019464459
12/10/2011,0.992640294,0.996153846,0.993013857,0.986249485,1.015717092,1.020228155,1.005475563,1.008286795,1.006826249,1.007633588,1.017094017,0.997046414
13/10/2011,1.000926784,1.005791506,1.004709576,1.01711471,0.999355255,0.998386167,1.012505042,0.99624799,1.000542397,1,1,1.014917478
14/10/2011,0.996296296,0.999040307,0.998784722,0.993433473,0.996129032,1.008544048,1.000996016,1.008428981,1.00966751,1.007575758,1,0.999270301
17/10/2011,1.000929368,1.003842459,1.00295498,1.009667025,1.017487047,1.016828849,1.013930348,1.000177841,0.984250559,1.007518797,1.008403361,1.017108283
18/10/2011,1.00185701,1.002870813,1.004621606,1.013747954,0.973265436,0.972866472,0.97016683,0.987197724,1.019819984,0.97761194,0.975,0.973230769
19/10/2011,0.997219648,1,0.999424957,0.997174685,1.007194245,1.017243375,1.014566053,1.010806916,0.980297762,1.022900763,1.017094017,1.019496259
20/10/2011,1,1.002862595,1.00287687,1.0020238,0.954545455,0.98589306,0.983649053,0.9914469,1.003637686,0.992537313,0.991596639,0.989559644
21/10/2011,0.996282528,0.996194101,0.995410212,0.987558572,0.98707483,0.99538426,0.986519359,1.005930985,1.005255527,0.992481203,1,0.99780633
24/10/2011,0.998134328,1.00191022,1.000576369,0.994764398,1.011716058,1.021214932,1.021062365,1.0125067,1.025599423,1.015151515,1.008474576,1.021880235
25/10/2011,0.995327103,0.996186845,0.995391705,1.016036184,1.024523161,1.016800999,1.018313544,0.995412035,0.981982774,1.014925373,1.016806723,1.0103473
26/10/2011,1.00657277,1.00861244,1.01099537,1.0087414,1.018617021,0.987495813,0.997035573,1.001772735,1.011635192,0.992647059,0.991735537,0.987325086
27/10/2011,1,0.999051233,0.994848311,0.975367087,1.028067885,1.046919163,1.030723489,1.029198372,1.03476953,1.02962963,1.033333333,1.032145425
28/10/2011,0.991604478,0.998100665,0.991887227,0.992267193,0.995555556,1.002915767,1.014423077,1.001719395,0.995297538,1,1,1.016915423
31/10/2011,0.995296331,1.007611798,1.008759209,1.026612502,1.008290816,0.990093679,1,0.98935805,0.973112276,0.992805755,0.991935484,0.991193738
01/11/2011,1.004725898,1.011331445,1.017826337,1.027860777,0.961416825,0.952800435,0.965876777,0.967730743,0.975900424,0.949275362,0.951219512,0.976307996
02/11/2011,0.997177799,0.995331466,0.995480226,0.99230044,1.021052632,1.008332382,1.010794897,1.003944066,1.015106287,1.007633588,1,0.995753286
03/11/2011,0.998113208,0.997185741,0.997729852,0.988361045,1.014175258,1.009621915,0.995145631,1.005535714,1.019247906,1.022727273,1.017094017,1.002437043
04/11/2011,1.00094518,1.000940734,0.999431172,1.005607626,1.021601017,1.019508914,1.019512195,1.003374179,0.99589089,1.007407407,1.008403361,1.014991896
07/11/2011,0.996222852,1.004699248,1.006260672,1.004142436,0.989427861,0.987902782,0.986602871,1.002477876,0.997717496,0.985294118,0.983333333,0.986327345
08/11/2011,1,0.999064546,1,1.009758033,1.024512885,1.016252922,1.011639185,1.002118644,1.004399472,1.02238806,1.016949153,1.002934332
09/11/2011,1.001895735,1.002808989,1.004524887,1.010606537,0.989570552,0.98608829,0.994247363,0.989605356,0.975908892,0.97810219,0.991666667,1.000605327
10/11/2011,1.002838221,0.998132586,1.003378378,0.998600637,0.990080595,0.997778271,0.985535198,0.990742389,1.002872531,1,1,0.983464408
11/11/2011,1.000943396,0.999064546,0.997755331,0.987076684,0.993112085,0.994767312,1.000978474,1.014555256,1.011009667,1,1,0.99600164
14/11/2011,1.002827521,1,1.00056243,1.012067198,1.02332913,1.014213766,1.014662757,1.002833865,1.00168216,1.007462687,1.008403361,1.017292846
15/11/2011,1,1.002808989,1.007307476,1.01340399,0.985212569,0.984219819,0.989402697,0.99911692,1.006540569,0.985185185,0.983333333,0.980370333
16/11/2011,1.003759398,1.000933707,1.00390625,0.999538604,1.009380863,1.004709048,1.00097371,0.996994874,0.989989463,1.007518797,1.008474576,1.005263701
17/11/2011,1.00093633,0.995335821,0.998332407,0.99530697,0.989467162,0.993081129,0.993190661,0.991666667,0.985808054,0.985074627,0.983193277,0.991889117
18/11/2011,0.996258185,0.991565136,0.9922049,0.991265363,0.967438948,0.991010226,0.982370225,0.9894511,0.996490912,1,0.991452991,0.985094711
21/11/2011,1.012206573,1.002835539,1.003928171,1.004132876,0.976699029,0.977548475,0.981355932,0.988073726,0.98772009,0.977272727,0.974137931,0.994536093
22/11/2011,1.000927644,0.996229972,0.997764114,1.008775336,0.992710404,1.007307737,1.002844661,0.999451353,0.993600878,1,1.008849558,1.000528262
23/11/2011,0.999073216,1,1.005602241,1.008006159,1.00200267,0.980308614,0.97902948,0.98389753,0.983255129,0.984496124,0.98245614,0.98532207
24/11/2011,1.001855288,0.997161779,0.998328691,1.001069192,0.99467022,1.001174674,1.002586921,0.995536545,1,1,0.991071429,0.996141893
25/11/2011,0.996296296,0.9943074,0.997209821,0.984742142,0.98593436,0.98322187,0.985034575,1.000747245,0.993824272,0.992125984,0.990990991,0.988488435
28/11/2011,0.994423792,0.998091603,0.997761612,1.011310815,1.016304348,1.028878282,1.01917435,1.023333956,1.030411449,1.031746032,1.036363636,1.027209404
29/11/2011,0.998130841,1.006692161,1.010656197,1.007737092,1.006016043,1.011482255,1.013364861,1.003101058,1.000913743,1.007692308,1.01754386,1.009006145
30/11/2011,1,0.999050332,1.002219756,0.985404789,1.010631229,1.009517257,1.000304352,1.022004001,1.035420851,1.007633588,1.00862069,1.00094508
01/12/2011,1,0.989543726,0.981173865,0.990280028,1.042735043,1.02998637,1.034482759,1.015124555,0.998148475,1.022727273,1.017094017,1.02853546
02/12/2011,1.002808989,1.000960615,1,0.986055932,1.010718789,1.014556683,1.015686275,1.007011394,1.008038159,1.014814815,1,1.003263974
05/12/2011,1.005602241,1.001919386,1.000564334,0.993126876,0.983780412,0.996413043,1.003861004,1.004525674,1.008324571,1,1.008403361,1.004880033
06/12/2011,1.000928505,1.001915709,1.001128032,1.024023546,0.985415346,0.994327479,0.992307692,0.996014556,1.000260711,1,1,0.993423715
07/12/2011,1.001855288,1.006692161,1.006760563,0.990988891,1.011583012,1.007679649,1.004844961,0.989561587,0.997046047,1,1,1.006517975
08/12/2011,0.99537037,1.001899335,1.001119194,1.00564396,0.996819338,0.99172564,0.988428158,1.001933896,0.979522482,1,0.991666667,0.996256198
09/12/2011,0.997209302,0.999052133,0.998323086,0.993920025,0.981493299,0.988143594,0.980487805,0.997718898,1.01601281,0.99270073,0.991596639,0.98385131
12/12/2011,1.001865672,1.0028463,1.005039194,1.014743942,0.996749025,0.994222864,1.000995025,0.99366866,0.983889327,0.992647059,0.991525424,1.003716321
13/12/2011,1.000931099,1.000946074,1.002785515,0.993817142,0.982387476,0.993407085,0.989363817,1.004247788,0.990744861,0.992592593,0.991452991,0.992697727
14/12/2011,1.00372093,0.997164461,0.994444444,1.005910257,0.972111554,0.987176603,0.996383,0.983256962,0.988772119,0.992537313,0.982758621,0.990779113
15/12/2011,1.002780352,1.001895735,1.003910615,0.997680711,0.972677596,0.983249772,0.982857719,0.998924538,1.001544331,0.992481203,0.99122807,0.998013176
16/12/2011,1.000924214,1,0.998887034,1.01418055,0.998595506,1.009039286,1.012106289,0.999820563,1.004172336,1.007575758,1.008849558,1.01424979
19/12/2011,1.001846722,1.002838221,1.003899721,1.001528117,1.009142053,0.99965545,0.991586417,0.994256999,0.985276849,1,1,1.000929752
20/12/2011,0.993548387,1.000943396,1.001664817,0.997711321,0.977003484,0.987591912,0.987119199,1.001083032,1.020535387,0.984962406,0.99122807,0.988956549
21/12/2011,0.996289425,1.002827521,1.002216066,1.001376357,1.027104137,1.020823639,1.022058824,1.001081861,1.003772907,1.015267176,1.017699115,1.017637236
22/12/2011,0.997206704,0.99906015,0.997788834,0.998014661,0.993055556,1.003418803,0.998986726,1.010806916,1.00465366,1.007518797,1,0.998974464
23/12/2011,1.000933707,1.000940734,1.001108033,1.001224178,1,1.011016468,1.013490212,1.004989309,1.00828434,1.007462687,1.008695652,1.012524381
26/12/2011,1,1,1,1,1,1,1,1,1,1,1,1
27/12/2011,1,1,1,1,1,1,1,1,1,1,1,1
28/12/2011,1.002798507,1.00093985,1.000553403,1.00374446,0.999300699,1.002022018,0.996397118,1.009219858,1,1.007407407,1,1.003244449
29/12/2011,1.014883721,1.002816901,1.004424779,1.008983632,0.979706088,0.996188341,1.004419446,1.002108222,1.011573461,0.992647059,1,1.004345629
30/12/2011,0.99908341,1.00093633,1,0.995472723,1.012142857,1.004951609,1.002,1.00157784,0.993973799,1.007407407,1.00862069,1.002918092
02/01/2012,1,1,1,1,1,1,1,1,1,1,1,1
03/01/2012,0.994495413,0.998129093,0.996145374,0.994087774,1.018348624,1.023628219,1.00998004,1.012777875,1.011686144,1.022058824,1.008547009,1.008327481
04/01/2012,0.998154982,1.000937207,0.999447208,0.997636294,1.018018018,1.00667323,1.006916996,0.996197719,0.99782873,1.007194245,1.008474576,0.999004975
05/01/2012,1.000924214,1,1,1.001834301,0.999319265,0.994892415,0.999018646,1.001214434,1.007224302,0.985714286,0.991596639,0.987848606
06/01/2012,0.997229917,0.998127341,0.997234513,1.004348489,1.009536785,1.009721464,1.001964637,1.003638884,1.002333218,1.007246377,1.008474576,1.006755394
09/01/2012,1.005555556,1.001876173,1.002218525,1.002506646,1.000674764,0.996754652,1.003921569,1.000517956,1.000775929,0.992805755,1,1.000901352
10/01/2012,0.998158379,1.00093633,1.001106807,0.990604637,1.016857721,1.015519861,1.020507813,1.011906816,1.010165403,1.007246377,1.008403361,1.007604563
11/01/2012,1.005535055,0.999064546,0.997788834,1.007572281,1.012599469,1.00459549,1.006698565,1.002216917,1.010233669,1,1,1.006951341
12/01/2012,1.006422018,1.001872659,1.002770083,0.997722614,1.008513425,1.007553191,1.012357414,1.009528671,1.006668918,1.007194245,1.016666667,1.01183432
13/01/2012,1.003646308,1.002803738,1.002209945,1.010728144,0.994155844,0.995143068,1,0.995280634,0.99672956,0.992857143,1,0.999025341
